C.A.,año,tipo de cultivo,litros de agua
Aragón,2009,Olivar y Viñedo,84313
Aragón,2009,Patatas y hortalizas,28796
Aragón,2009,Otros tipos de cultivos,36506
Aragón,2010,Herbáceos,1907010
Aragón,2010,Frutales,314576
Aragón,2010,Olivar y Viñedo,87284
Aragón,2010,Patatas y hortalizas,40932
Aragón,2010,Otros tipos de cultivos,36403
Aragón,2011,Herbáceos,2221102
Aragón,2011,Frutales,174540
Aragón,2011,Olivar y Viñedo,104444
Aragón,2011,Patatas y hortalizas,67395
Aragón,2011,Otros tipos de cultivos,31038
Aragón,2012,Herbáceos,1888503
Aragón,2012,Frutales,165383
Aragón,2012,Olivar y Viñedo,98336
Aragón,2012,Patatas y hortalizas,58108
Aragón,2012,Otros tipos de cultivos,24585
Aragón,2013,Herbáceos,1792418
Aragón,2013,Frutales,124987
Aragón,2013,Olivar y Viñedo,34840
Aragón,2013,Patatas y hortalizas,37852
Aragón,2013,Otros tipos de cultivos,13655
Aragón,2014,Herbáceos,1828151
Aragón,2014,Frutales,119248
Aragón,2014,Olivar y Viñedo,37008
Aragón,2014,Patatas y hortalizas,49344
Aragón,2014,Otros tipos de cultivos,22616
Aragón,2015,Herbáceos,1777179
Aragón,2015,Frutales,121171
Aragón,2015,Olivar y Viñedo,52508
Aragón,2015,Patatas y hortalizas,46449
Aragón,2015,Otros tipos de cultivos,20841
Aragón,2016,Herbáceos,1796959
Aragón,2016,Frutales,121966
Aragón,2016,Olivar y Viñedo,40655
Aragón,2016,Patatas y hortalizas,44721
Aragón,2016,Otros tipos de cultivos,28165
Castilla y León,2000,Herbáceos,1420534
Castilla y León,2000,Frutales,60510
Castilla y León,2000,Olivar y Viñedo,164651
Castilla y León,2000,Patatas y hortalizas,103910
Castilla y León,2000,Otros tipos de cultivos,310433
Castilla y León,2001,Herbáceos,954296
Castilla y León,2001,Frutales,46740
Castilla y León,2001,Olivar y Viñedo,43423
Castilla y León,2001,Patatas y hortalizas,163021
Castilla y León,2001,Otros tipos de cultivos,689338
Castilla y León,2002,Herbáceos,1182803
Castilla y León,2002,Frutales,33139
Castilla y León,2002,Olivar y Viñedo,28854
Castilla y León,2002,Patatas y hortalizas,96918
Castilla y León,2002,Otros tipos de cultivos,735338
Castilla y León,2003,Herbáceos,1297738
Castilla y León,2003,Frutales,49448
Castilla y León,2003,Olivar y Viñedo,32249
Castilla y León,2003,Patatas y hortalizas,147046
Castilla y León,2003,Otros tipos de cultivos,681003
Castilla y León,2004,Herbáceos,1714993
Castilla y León,2004,Frutales,19860
Castilla y León,2004,Olivar y Viñedo,53911
Castilla y León,2004,Patatas y hortalizas,213072
Castilla y León,2004,Otros tipos de cultivos,328682
Castilla y León,2005,Herbáceos,1610445
Castilla y León,2005,Frutales,19754
Castilla y León,2005,Olivar y Viñedo,20145
Castilla y León,2005,Patatas y hortalizas,222840
Castilla y León,2005,Otros tipos de cultivos,419492
