C.A.,año,tipo de cultivo,litros de agua
Región de Murcia,2000,Herbáceos,56665
Región de Murcia,2000,Frutales,302117
Región de Murcia,2000,Olivar y Viñedo,39328
Región de Murcia,2000,Patatas y hortalizas,0
Región de Murcia,2000,Otros tipos de cultivos,98254
Región de Murcia,2001,Herbáceos,80853
Región de Murcia,2001,Frutales,319529
Región de Murcia,2001,Olivar y Viñedo,12865
Región de Murcia,2001,Patatas y hortalizas,83253
Región de Murcia,2001,Otros tipos de cultivos,67234
Región de Murcia,2002,Herbáceos,57160
Región de Murcia,2002,Frutales,318750
Región de Murcia,2002,Olivar y Viñedo,28649
Región de Murcia,2002,Patatas y hortalizas,65851
Región de Murcia,2002,Otros tipos de cultivos,159300
Región de Murcia,2003,Herbáceos,31544
Región de Murcia,2003,Frutales,406693
Región de Murcia,2003,Olivar y Viñedo,35148
Región de Murcia,2003,Patatas y hortalizas,80187
Región de Murcia,2003,Otros tipos de cultivos,60870
Región de Murcia,2004,Herbáceos,34350
Región de Murcia,2004,Frutales,336180
Región de Murcia,2004,Olivar y Viñedo,36838
Región de Murcia,2004,Patatas y hortalizas,197479
Región de Murcia,2004,Otros tipos de cultivos,15109
Región de Murcia,2005,Herbáceos,6979
Región de Murcia,2005,Frutales,285000
Región de Murcia,2005,Olivar y Viñedo,52440
Región de Murcia,2005,Patatas y hortalizas,183832
Región de Murcia,2005,Otros tipos de cultivos,34815
Región de Murcia,2006,Herbáceos,10032
Región de Murcia,2006,Frutales,298124
Región de Murcia,2006,Olivar y Viñedo,51607
Región de Murcia,2006,Patatas y hortalizas,125666
Región de Murcia,2006,Otros tipos de cultivos,42082
Región de Murcia,2007,Herbáceos,19596
Región de Murcia,2007,Frutales,270858
Región de Murcia,2007,Olivar y Viñedo,56557
Región de Murcia,2007,Patatas y hortalizas,180848
Región de Murcia,2007,Otros tipos de cultivos,23944
Región de Murcia,2008,Herbáceos,17911
Región de Murcia,2008,Frutales,266353
Región de Murcia,2008,Olivar y Viñedo,42982
Región de Murcia,2008,Patatas y hortalizas,178284
Región de Murcia,2008,Otros tipos de cultivos,16214
Región de Murcia,2009,Herbáceos,20632
Región de Murcia,2009,Frutales,252882
Región de Murcia,2009,Olivar y Viñedo,40943
Región de Murcia,2009,Patatas y hortalizas,184421
Región de Murcia,2009,Otros tipos de cultivos,27173
Región de Murcia,2010,Herbáceos,17416
Región de Murcia,2010,Frutales,244740
Región de Murcia,2010,Olivar y Viñedo,44712
Región de Murcia,2010,Patatas y hortalizas,162195
Región de Murcia,2010,Otros tipos de cultivos,38777
Región de Murcia,2011,Herbáceos,16455
Región de Murcia,2011,Frutales,239488
Región de Murcia,2011,Olivar y Viñedo,105442
Región de Murcia,2011,Patatas y hortalizas,207636
Región de Murcia,2011,Otros tipos de cultivos,5676
Región de Murcia,2012,Herbáceos,28208
Región de Murcia,2012,Frutales,238589
Región de Murcia,2012,Olivar y Viñedo,76984
Región de Murcia,2012,Patatas y hortalizas,238589
Región de Murcia,2012,Otros tipos de cultivos,5288
Región de Murcia,2013,Herbáceos,15411
Región de Murcia,2013,Frutales,214378
Región de Murcia,2013,Olivar y Viñedo,81838
Región de Murcia,2013,Patatas y hortalizas,212564
Región de Murcia,2013,Otros tipos de cultivos,6908
Región de Murcia,2014,Herbáceos,23751
Región de Murcia,2014,Frutales,216804
Región de Murcia,2014,Olivar y Viñedo,85869
Región de Murcia,2014,Patatas y hortalizas,273441
Región de Murcia,2014,Otros tipos de cultivos,9454
Región de Murcia,2015,Herbáceos,23480
Región de Murcia,2015,Frutales,275204
Región de Murcia,2015,Olivar y Viñedo,79722
Región de Murcia,2015,Patatas y hortalizas,160535
Región de Murcia,2015,Otros tipos de cultivos,5326
Región de Murcia,2016,Herbáceos,17180
Región de Murcia,2016,Frutales,233327
Región de Murcia,2016,Olivar y Viñedo,61432
Región de Murcia,2016,Patatas y hortalizas,217616
Región de Murcia,2016,Otros tipos de cultivos,1562
Navarra Comunidad Foral de,2000,Herbáceos,269801
Navarra Comunidad Foral de,2000,Frutales,11366
Navarra Comunidad Foral de,2000,Olivar y Viñedo,61849
Navarra Comunidad Foral de,2000,Patatas y hortalizas,20991
Navarra Comunidad Foral de,2000,Otros tipos de cultivos,23863
Navarra Comunidad Foral de,2001,Herbáceos,187329
Navarra Comunidad Foral de,2001,Frutales,5134
Navarra Comunidad Foral de,2001,Olivar y Viñedo,10987
Navarra Comunidad Foral de,2001,Patatas y hortalizas,92295
Navarra Comunidad Foral de,2001,Otros tipos de cultivos,91631
Navarra Comunidad Foral de,2002,Herbáceos,193595
Navarra Comunidad Foral de,2002,Frutales,2053
Navarra Comunidad Foral de,2002,Olivar y Viñedo,11317
Navarra Comunidad Foral de,2002,Patatas y hortalizas,59104
Navarra Comunidad Foral de,2002,Otros tipos de cultivos,127411
Navarra Comunidad Foral de,2003,Herbáceos,228782
Navarra Comunidad Foral de,2003,Frutales,3152
Navarra Comunidad Foral de,2003,Olivar y Viñedo,20576
Navarra Comunidad Foral de,2003,Patatas y hortalizas,51804
Navarra Comunidad Foral de,2003,Otros tipos de cultivos,100051
Navarra Comunidad Foral de,2004,Herbáceos,318155
Navarra Comunidad Foral de,2004,Frutales,29172
Navarra Comunidad Foral de,2004,Olivar y Viñedo,36711
Navarra Comunidad Foral de,2004,Patatas y hortalizas,32310
Navarra Comunidad Foral de,2004,Otros tipos de cultivos,26473
Navarra Comunidad Foral de,2005,Herbáceos,336764
Navarra Comunidad Foral de,2005,Frutales,23995
Navarra Comunidad Foral de,2005,Olivar y Viñedo,32765
Navarra Comunidad Foral de,2005,Patatas y hortalizas,44317
Navarra Comunidad Foral de,2005,Otros tipos de cultivos,20522
Navarra Comunidad Foral de,2006,Herbáceos,284942
Navarra Comunidad Foral de,2006,Frutales,17496
Navarra Comunidad Foral de,2006,Olivar y Viñedo,44226
Navarra Comunidad Foral de,2006,Patatas y hortalizas,42062
Navarra Comunidad Foral de,2006,Otros tipos de cultivos,49500
Navarra Comunidad Foral de,2007,Herbáceos,283952
Navarra Comunidad Foral de,2007,Frutales,10283
Navarra Comunidad Foral de,2007,Olivar y Viñedo,62013
Navarra Comunidad Foral de,2007,Patatas y hortalizas,95000
Navarra Comunidad Foral de,2007,Otros tipos de cultivos,3603
Navarra Comunidad Foral de,2008,Herbáceos,296594
Navarra Comunidad Foral de,2008,Frutales,14628
Navarra Comunidad Foral de,2008,Olivar y Viñedo,53763
Navarra Comunidad Foral de,2008,Patatas y hortalizas,59313
Navarra Comunidad Foral de,2008,Otros tipos de cultivos,9156
Navarra Comunidad Foral de,2009,Herbáceos,313607
Navarra Comunidad Foral de,2009,Frutales,29768
Navarra Comunidad Foral de,2009,Olivar y Viñedo,64780
Navarra Comunidad Foral de,2009,Patatas y hortalizas,75332
Navarra Comunidad Foral de,2009,Otros tipos de cultivos,15705
Navarra Comunidad Foral de,2010,Herbáceos,355888
Navarra Comunidad Foral de,2010,Frutales,28068
Navarra Comunidad Foral de,2010,Olivar y Viñedo,61555
Navarra Comunidad Foral de,2010,Patatas y hortalizas,40485
Navarra Comunidad Foral de,2010,Otros tipos de cultivos,21031
Navarra Comunidad Foral de,2011,Herbáceos,408152
Navarra Comunidad Foral de,2011,Frutales,9020
Navarra Comunidad Foral de,2011,Olivar y Viñedo,41274
Navarra Comunidad Foral de,2011,Patatas y hortalizas,57350
Navarra Comunidad Foral de,2011,Otros tipos de cultivos,37817
Navarra Comunidad Foral de,2012,Herbáceos,372481
Navarra Comunidad Foral de,2012,Frutales,4643
Navarra Comunidad Foral de,2012,Olivar y Viñedo,21668
Navarra Comunidad Foral de,2012,Patatas y hortalizas,73259
Navarra Comunidad Foral de,2012,Otros tipos de cultivos,43851
Navarra Comunidad Foral de,2013,Herbáceos,406560
Navarra Comunidad Foral de,2013,Frutales,5670
Navarra Comunidad Foral de,2013,Olivar y Viñedo,31441
Navarra Comunidad Foral de,2013,Patatas y hortalizas,44326
Navarra Comunidad Foral de,2013,Otros tipos de cultivos,27316
Navarra Comunidad Foral de,2014,Herbáceos,349664
Navarra Comunidad Foral de,2014,Frutales,6258
Navarra Comunidad Foral de,2014,Olivar y Viñedo,22129
Navarra Comunidad Foral de,2014,Patatas y hortalizas,46830
Navarra Comunidad Foral de,2014,Otros tipos de cultivos,21903
Navarra Comunidad Foral de,2015,Herbáceos,315157
Navarra Comunidad Foral de,2015,Frutales,2818
Navarra Comunidad Foral de,2015,Olivar y Viñedo,23345
Navarra Comunidad Foral de,2015,Patatas y hortalizas,41458
Navarra Comunidad Foral de,2015,Otros tipos de cultivos,19255
Navarra Comunidad Foral de,2016,Herbáceos,290635
Navarra Comunidad Foral de,2016,Frutales,5948
Navarra Comunidad Foral de,2016,Olivar y Viñedo,23394
Navarra Comunidad Foral de,2016,Patatas y hortalizas,59079
Navarra Comunidad Foral de,2016,Otros tipos de cultivos,13884
La Rioja,2000,Herbáceos,61728
La Rioja,2000,Frutales,37550
La Rioja,2000,Olivar y Viñedo,42532
La Rioja,2000,Patatas y hortalizas,5965
La Rioja,2000,Otros tipos de cultivos,28393
La Rioja,2001,Herbáceos,78865
La Rioja,2001,Frutales,41097
La Rioja,2001,Olivar y Viñedo,13785
La Rioja,2001,Patatas y hortalizas,22593
La Rioja,2001,Otros tipos de cultivos,18349
La Rioja,2002,Herbáceos,39042
La Rioja,2002,Frutales,58331
La Rioja,2002,Olivar y Viñedo,25068
La Rioja,2002,Patatas y hortalizas,41044
La Rioja,2002,Otros tipos de cultivos,30331
La Rioja,2003,Herbáceos,44957
La Rioja,2003,Frutales,52701
La Rioja,2003,Olivar y Viñedo,20437
La Rioja,2003,Patatas y hortalizas,61595
La Rioja,2003,Otros tipos de cultivos,18814
La Rioja,2004,Herbáceos,42595
La Rioja,2004,Frutales,47886
La Rioja,2004,Olivar y Viñedo,42698
La Rioja,2004,Patatas y hortalizas,41853
La Rioja,2004,Otros tipos de cultivos,32170
La Rioja,2005,Herbáceos,29964
La Rioja,2005,Frutales,48431
La Rioja,2005,Olivar y Viñedo,42787
La Rioja,2005,Patatas y hortalizas,46194
La Rioja,2005,Otros tipos de cultivos,24711
La Rioja,2006,Herbáceos,33376
La Rioja,2006,Frutales,45804
La Rioja,2006,Olivar y Viñedo,40680
La Rioja,2006,Patatas y hortalizas,52403
La Rioja,2006,Otros tipos de cultivos,17574
La Rioja,2007,Herbáceos,72349
La Rioja,2007,Frutales,38425
La Rioja,2007,Olivar y Viñedo,65557
La Rioja,2007,Patatas y hortalizas,35216
La Rioja,2007,Otros tipos de cultivos,12785
La Rioja,2008,Herbáceos,75608
La Rioja,2008,Frutales,39619
La Rioja,2008,Olivar y Viñedo,75026
La Rioja,2008,Patatas y hortalizas,35923
La Rioja,2008,Otros tipos de cultivos,14684
La Rioja,2009,Herbáceos,73971
La Rioja,2009,Frutales,49973
La Rioja,2009,Olivar y Viñedo,98786
La Rioja,2009,Patatas y hortalizas,38825
La Rioja,2009,Otros tipos de cultivos,12435
La Rioja,2010,Herbáceos,74589
La Rioja,2010,Frutales,38004
La Rioja,2010,Olivar y Viñedo,90973
La Rioja,2010,Patatas y hortalizas,48178
La Rioja,2010,Otros tipos de cultivos,28430
La Rioja,2011,Herbáceos,43479
La Rioja,2011,Frutales,94933
La Rioja,2011,Olivar y Viñedo,81538
La Rioja,2011,Patatas y hortalizas,60804
La Rioja,2011,Otros tipos de cultivos,26040
La Rioja,2012,Herbáceos,48441
La Rioja,2012,Frutales,88973
La Rioja,2012,Olivar y Viñedo,82710
La Rioja,2012,Patatas y hortalizas,84030
La Rioja,2012,Otros tipos de cultivos,25374
La Rioja,2013,Herbáceos,40545
La Rioja,2013,Frutales,81119
La Rioja,2013,Olivar y Viñedo,63335
La Rioja,2013,Patatas y hortalizas,61480
La Rioja,2013,Otros tipos de cultivos,18492
La Rioja,2014,Herbáceos,29736
La Rioja,2014,Frutales,72688
La Rioja,2014,Olivar y Viñedo,62776
La Rioja,2014,Patatas y hortalizas,54506
La Rioja,2014,Otros tipos de cultivos,16756
La Rioja,2015,Herbáceos,18756
La Rioja,2015,Frutales,88061
La Rioja,2015,Olivar y Viñedo,47804
La Rioja,2015,Patatas y hortalizas,57868
La Rioja,2015,Otros tipos de cultivos,12634
La Rioja,2016,Herbáceos,13167
La Rioja,2016,Frutales,67409
La Rioja,2016,Olivar y Viñedo,40143
La Rioja,2016,Patatas y hortalizas,33560
La Rioja,2016,Otros tipos de cultivos,13167
Resto de Comunidades Autónomas,2000,Herbáceos,156431
Resto de Comunidades Autónomas,2000,Frutales,42675
Resto de Comunidades Autónomas,2000,Olivar y Viñedo,53201
Resto de Comunidades Autónomas,2000,Patatas y hortalizas,2513
Resto de Comunidades Autónomas,2000,Otros tipos de cultivos,15640
Resto de Comunidades Autónomas,2001,Herbáceos,307691
Resto de Comunidades Autónomas,2001,Frutales,115548
Resto de Comunidades Autónomas,2001,Olivar y Viñedo,11260
Resto de Comunidades Autónomas,2001,Patatas y hortalizas,24782
Resto de Comunidades Autónomas,2001,Otros tipos de cultivos,20379
Resto de Comunidades Autónomas,2002,Herbáceos,235752
Resto de Comunidades Autónomas,2002,Frutales,127031
Resto de Comunidades Autónomas,2002,Olivar y Viñedo,13380
Resto de Comunidades Autónomas,2002,Patatas y hortalizas,24953
Resto de Comunidades Autónomas,2002,Otros tipos de cultivos,131864
Resto de Comunidades Autónomas,2003,Herbáceos,242100
Resto de Comunidades Autónomas,2003,Frutales,132106
Resto de Comunidades Autónomas,2003,Olivar y Viñedo,9633
Resto de Comunidades Autónomas,2003,Patatas y hortalizas,27714
Resto de Comunidades Autónomas,2003,Otros tipos de cultivos,54528
Resto de Comunidades Autónomas,2004,Herbáceos,240402
Resto de Comunidades Autónomas,2004,Frutales,49931
Resto de Comunidades Autónomas,2004,Olivar y Viñedo,20072
Resto de Comunidades Autónomas,2004,Patatas y hortalizas,83116
Resto de Comunidades Autónomas,2004,Otros tipos de cultivos,90905
Resto de Comunidades Autónomas,2005,Herbáceos,209960
Resto de Comunidades Autónomas,2005,Frutales,73338
Resto de Comunidades Autónomas,2005,Olivar y Viñedo,15091
Resto de Comunidades Autónomas,2005,Patatas y hortalizas,69606
Resto de Comunidades Autónomas,2005,Otros tipos de cultivos,64069
Resto de Comunidades Autónomas,2006,Herbáceos,181091
Resto de Comunidades Autónomas,2006,Frutales,67817
Resto de Comunidades Autónomas,2006,Olivar y Viñedo,16878
Resto de Comunidades Autónomas,2006,Patatas y hortalizas,90983
Resto de Comunidades Autónomas,2006,Otros tipos de cultivos,71190
Resto de Comunidades Autónomas,2007,Herbáceos,176008
Resto de Comunidades Autónomas,2007,Frutales,84063
Resto de Comunidades Autónomas,2007,Olivar y Viñedo,31389
Resto de Comunidades Autónomas,2007,Patatas y hortalizas,107468
Resto de Comunidades Autónomas,2007,Otros tipos de cultivos,63830
Resto de Comunidades Autónomas,2008,Herbáceos,192114
Resto de Comunidades Autónomas,2008,Frutales,78810
Resto de Comunidades Autónomas,2008,Olivar y Viñedo,23496
Resto de Comunidades Autónomas,2008,Patatas y hortalizas,81764
Resto de Comunidades Autónomas,2008,Otros tipos de cultivos,48351
Resto de Comunidades Autónomas,2009,Herbáceos,107452
Resto de Comunidades Autónomas,2009,Frutales,65713
Resto de Comunidades Autónomas,2009,Olivar y Viñedo,18553
Resto de Comunidades Autónomas,2009,Patatas y hortalizas,39875
Resto de Comunidades Autónomas,2009,Otros tipos de cultivos,43002
Resto de Comunidades Autónomas,2010,Herbáceos,91059
Resto de Comunidades Autónomas,2010,Frutales,66263
Resto de Comunidades Autónomas,2010,Olivar y Viñedo,22630
Resto de Comunidades Autónomas,2010,Patatas y hortalizas,50158
Resto de Comunidades Autónomas,2010,Otros tipos de cultivos,47619
Resto de Comunidades Autónomas,2011,Herbáceos,47530
Resto de Comunidades Autónomas,2011,Frutales,102120
Resto de Comunidades Autónomas,2011,Olivar y Viñedo,22617
Resto de Comunidades Autónomas,2011,Patatas y hortalizas,88552
Resto de Comunidades Autónomas,2011,Otros tipos de cultivos,42608
Resto de Comunidades Autónomas,2012,Herbáceos,65186
Resto de Comunidades Autónomas,2012,Frutales,100546
Resto de Comunidades Autónomas,2012,Olivar y Viñedo,13221
Resto de Comunidades Autónomas,2012,Patatas y hortalizas,90398
Resto de Comunidades Autónomas,2012,Otros tipos de cultivos,38127
Resto de Comunidades Autónomas,2013,Herbáceos,93249
Resto de Comunidades Autónomas,2013,Frutales,69213
Resto de Comunidades Autónomas,2013,Olivar y Viñedo,6081
Resto de Comunidades Autónomas,2013,Patatas y hortalizas,79531
Resto de Comunidades Autónomas,2013,Otros tipos de cultivos,41284
Resto de Comunidades Autónomas,2014,Herbáceos,146916
Resto de Comunidades Autónomas,2014,Frutales,62216
Resto de Comunidades Autónomas,2014,Olivar y Viñedo,3067
Resto de Comunidades Autónomas,2014,Patatas y hortalizas,46653
Resto de Comunidades Autónomas,2014,Otros tipos de cultivos,49280
Resto de Comunidades Autónomas,2015,Herbáceos,134246
Resto de Comunidades Autónomas,2015,Frutales,27585
Resto de Comunidades Autónomas,2015,Olivar y Viñedo,57928
Resto de Comunidades Autónomas,2015,Patatas y hortalizas,29117
Resto de Comunidades Autónomas,2015,Otros tipos de cultivos,42403
Resto de Comunidades Autónomas,2016,Herbáceos,74359
Resto de Comunidades Autónomas,2016,Frutales,62835
Resto de Comunidades Autónomas,2016,Olivar y Viñedo,1098
Resto de Comunidades Autónomas,2016,Patatas y hortalizas,47744
Resto de Comunidades Autónomas,2016,Otros tipos de cultivos,82252
